,Unnamed: 0,Table,Field,English,Spanish,English Tooltips,Spanish Tooltips,English Placeholders,Spanish Placeholders,traduccion
0,0,pedido,,Pedido,Pedido,,,,,Order
1,1,pedido,Id_pedido,Id Pedido,Id Pedido,,,,,Order Id
2,2,pedido,Empresa,Empresa,Empresa,,,,,Business
3,3,pedido,UN,UN,UN,,,,,A
4,4,pedido,Fecha_de_Solicitud,Fecha De Solicitud,Fecha De Solicitud,,,,,Application date
5,5,pedido,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,,Id Type Prod
6,6,pedido,No_orden_compra_cliente,No Orden Compra Cliente,No Orden Compra Cliente,,,,,No Order Purchase Customer
7,7,pedido,No_oc_cliente,No Oc Cliente,No Oc Cliente,,,,,No Oc Client
8,8,pedido,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,,OC Issue Date
9,9,pedido,Responsable,Responsable,Responsable,,,,,Responsable
10,10,pedido,Estado_general_OC,Estado General OC,Estado General OC,,,,,OC General Status
11,11,pedido,No_Cotizacion,No Cotizacion,No Cotizacion,,,,,No Quotation
12,12,pedido,cliente_final,Cliente Final,Cliente Final,,,,,Final client
13,13,control_pedido,,Control Pedido,Control Pedido,,,,,Order Control
14,14,control_pedido,PEDIDO,PEDIDO,PEDIDO,,,,,ORDER
15,15,control_pedido,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,,Id Order Detail
16,16,control_pedido,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,,Id Type Prod
17,17,control_pedido,Correlativo_lote,Correlativo Lote,Correlativo Lote,,,,,Correlative Lot
18,18,control_pedido,Fecha_inicio_descarga,Fecha Inicio Descarga,Fecha Inicio Descarga,,,,,Start Date Download
19,19,control_pedido,Fecha_fin_descarga,Fecha Fin Descarga,Fecha Fin Descarga,,,,,End Date Download
20,20,control_pedido,Recibido,Recibido,Recibido,,,,,Received
21,21,control_pedido,Faltante,Faltante,Faltante,,,,,Missing
22,22,control_pedido,Sobrante,Sobrante,Sobrante,,,,,Surplus
23,23,control_pedido,Precio_compra,Precio Compra,Precio Compra,,,,,Purchase Price
24,24,control_pedido,Plazo,Plazo,Plazo,,,,,Term
25,25,control_pedido,Broker,Broker,Broker,,,,,Broker
26,26,control_pedido,Region,Region,Region,,,,,Region
27,27,control_pedido,Vende,Vende,Vende,,,,,Sell
28,28,control_pedido,Volumen_compra,Volumen Compra,Volumen Compra,,,,,Purchase Volume
29,29,control_pedido,Id_precio,Id Precio,Id Precio,,,,,Id Price
30,30,control_pedido,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,,OC Issue Date
31,31,control_pedido,OC_firma,OC Firma,OC Firma,,,,,OC Signature
32,32,control_pedido,OC_enviada,OC Enviada,OC Enviada,,,,,OC Sent
33,33,control_pedido,OC_recibida,OC Recibida,OC Recibida,,,,,OC Received
34,34,control_pedido,Dias_OC,Dias OC,Dias OC,,,,,OC days
35,35,control_pedido,Empresa_logistica,Empresa Logistica,Empresa Logistica,,,,,Logistics Company
36,36,control_pedido,Marca_nombre_comercial,Marca Nombre Comercial,Marca Nombre Comercial,,,,,Brand Commercial Name
37,37,control_pedido,Tiempo_entrega,Tiempo Entrega,Tiempo Entrega,,,,,Delivery time
38,38,control_pedido,Tiempo_transito,Tiempo Transito,Tiempo Transito,,,,,Transit Time
39,39,control_pedido,Termino_compra,Termino Compra,Termino Compra,,,,,Purchase Term
40,40,control_pedido,Precio_referencia,Precio Referencia,Precio Referencia,,,,,Reference Price
41,41,control_pedido,Valor_total_referencia,Valor Total Referencia,Valor Total Referencia,,,,,Total Value Reference
42,42,control_pedido,Facturado,Facturado,Facturado,,,,,Invoiced
43,43,control_pedido,Observaciones,Observaciones,Observaciones,,,,,Observations
44,44,control_pedido,Dias_disponibilidad_planta,Dias Disponibilidad Planta,Dias Disponibilidad Planta,,,,,Days Availability Plant
45,45,control_pedido,Dias_despacho_planta,Dias Despacho Planta,Dias Despacho Planta,,,,,Days Plant Dispatch
46,46,control_pedido,Facturador_final,Facturador Final,Facturador Final,,,,,Final Billing
47,47,control_pedido,Fecha_pago,Fecha Pago,Fecha Pago,,,,,Pay day
48,48,control_pedido,Categoria,Categoria,Categoria,,,,,Category
49,49,control_pedido,No_factura_sourcing,No Factura Sourcing,No Factura Sourcing,,,,,No invoice Sourcing
50,50,control_pedido,Docto_digital_recibido,Docto Digital Recibido,Docto Digital Recibido,,,,,Digital Docto Received
51,51,control_pedido,Docto_original_recibido,Docto Original Recibido,Docto Original Recibido,,,,,Original Docto Received
52,52,control_pedido,Cantidad_facturada,Cantidad Facturada,Cantidad Facturada,,,,,Invoiced amount
53,53,control_pedido,Proveedor,Proveedor,Proveedor,,,,,Provider
54,54,control_pedido,No_factura,No Factura,No Factura,,,,,No invoice
55,55,control_pedido,Incoterm,Incoterm,Incoterm,,,,,Incoterm
56,56,control_pedido,Fecha_recepcion_lista_empaque,Fecha Recepcion Lista Empaque,Fecha Recepcion Lista Empaque,,,,,Date Receipt Packing List
57,57,control_pedido,Fecha_respuesta_planificacion,Fecha Respuesta Planificacion,Fecha Respuesta Planificacion,,,,,Date Response Planning
58,58,control_pedido,Incoterm_compra,Incoterm Compra,Incoterm Compra,,,,,Incoterm Buy
59,59,control_pedido,Gestores,Gestores,Gestores,,,,,Managers
60,60,control_pedido,Notifica_embarque,Notifica Embarque,Notifica Embarque,,,,,Notify Boarding
61,61,control_pedido,Confirma_compra,Confirma Compra,Confirma Compra,,,,,Confirm Purchase
62,62,control_pedido,Id_estado,Id Estado,Id Estado,,,,,Id Status
63,63,control_pedido,id_presentacion_final,Id Presentacion Final,Id Presentacion Final,,,,,Final Presentation Id
64,64,control_pedido,Solicitud_facturacion_FO,Solicitud Facturacion FO,Solicitud Facturacion FO,,,,,FO Billing Request
65,65,control_pedido,Facturacion_FO,Facturacion FO,Facturacion FO,,,,,FO billing
66,66,control_pedido,Proforma_proveedor,Proforma Proveedor,Proforma Proveedor,,,,,Proforma Supplier
67,67,control_pedido,flete_compra,Flete Compra,Flete Compra,,,,,Freight Purchase
68,68,control_pedido,Porcentaje_Termino_Compra,Porcentaje Termino Compra,Porcentaje Termino Compra,,,,,Purchase Term Percentage
69,69,control_pedido,Id_Estado_Pago,Id Estado Pago,Id Estado Pago,,,,,Id Status Payment
70,70,control_pedido,Id_Estado_Pago_Anticipo,Id Estado Pago Anticipo,Id Estado Pago Anticipo,,,,,Id Status Payment Advance
71,71,seguimiento_pedido,,Seguimiento Pedido,Seguimiento Pedido,,,,,Order Tracking
72,72,seguimiento_pedido,PEDIDO,PEDIDO,PEDIDO,,,,,ORDER
73,73,seguimiento_pedido,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,,Id Order Detail
74,74,seguimiento_pedido,No_camion,No Camion,No Camion,,,,,No truck
75,75,seguimiento_pedido,Fecha_estimada_disponibilidad_pedido,Fecha Estimada Disponibilidad Pedido,Fecha Estimada Disponibilidad Pedido,,,,,Estimated Date Availability Order
76,76,seguimiento_pedido,Fecha_envio_documento_tramite_permiso,Fecha Envio Documento Tramite Permiso,Fecha Envio Documento Tramite Permiso,,,,,Date Shipment Document Process Permission
77,77,seguimiento_pedido,Fecha_envio_documento_definitivo,Fecha Envio Documento Definitivo,Fecha Envio Documento Definitivo,,,,,Date Delivery Final Document
78,78,seguimiento_pedido,Fecha_real_disponibilidad_pedido,Fecha Real Disponibilidad Pedido,Fecha Real Disponibilidad Pedido,,,,,Actual Date Availability Order
79,79,seguimiento_pedido,Fecha_arribo_camion_frontera,Fecha Arribo Camion Frontera,Fecha Arribo Camion Frontera,,,,,Arrival Date Truck Border
80,80,seguimiento_pedido,Fecha_arribo_camion_destino,Fecha Arribo Camion Destino,Fecha Arribo Camion Destino,,,,,Date Arrival Destination Truck
81,81,seguimiento_pedido,Fecha_bl,Fecha Bl,Fecha Bl,,,,,Bl date
82,82,seguimiento_pedido,Flete,Flete,Flete,,,,,Freight
83,83,seguimiento_pedido,Precio_TM,Precio TM,Precio TM,,,,,TM price
