,Table,Field,English,Spanish,English Tooltips,Spanish Tooltips,English Placeholders,Spanish Placeholders
0,pedido,,Pedido,Pedido,,,,
1,pedido,Id_pedido,Id Pedido,Id Pedido,,,,
2,pedido,Empresa,Empresa,Empresa,,,,
3,pedido,UN,UN,UN,,,,
4,pedido,Fecha_de_Solicitud,Fecha De Solicitud,Fecha De Solicitud,,,,
5,pedido,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,
6,pedido,No_orden_compra_cliente,No Orden Compra Cliente,No Orden Compra Cliente,,,,
7,pedido,No_oc_cliente,No Oc Cliente,No Oc Cliente,,,,
8,pedido,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,
9,pedido,Responsable,Responsable,Responsable,,,,
10,pedido,Estado_general_OC,Estado General OC,Estado General OC,,,,
11,pedido,No_Cotizacion,No Cotizacion,No Cotizacion,,,,
12,pedido,cliente_final,Cliente Final,Cliente Final,,,,
13,control_pedido,,Control Pedido,Control Pedido,,,,
14,control_pedido,PEDIDO,PEDIDO,PEDIDO,,,,
15,control_pedido,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,
16,control_pedido,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,
17,control_pedido,Correlativo_lote,Correlativo Lote,Correlativo Lote,,,,
18,control_pedido,Fecha_inicio_descarga,Fecha Inicio Descarga,Fecha Inicio Descarga,,,,
19,control_pedido,Fecha_fin_descarga,Fecha Fin Descarga,Fecha Fin Descarga,,,,
20,control_pedido,Recibido,Recibido,Recibido,,,,
21,control_pedido,Faltante,Faltante,Faltante,,,,
22,control_pedido,Sobrante,Sobrante,Sobrante,,,,
23,control_pedido,Precio_compra,Precio Compra,Precio Compra,,,,
24,control_pedido,Plazo,Plazo,Plazo,,,,
25,control_pedido,Broker,Broker,Broker,,,,
26,control_pedido,Region,Region,Region,,,,
27,control_pedido,Vende,Vende,Vende,,,,
28,control_pedido,Volumen_compra,Volumen Compra,Volumen Compra,,,,
29,control_pedido,Id_precio,Id Precio,Id Precio,,,,
30,control_pedido,Fecha_emision_OC,Fecha Emision OC,Fecha Emision OC,,,,
31,control_pedido,OC_firma,OC Firma,OC Firma,,,,
32,control_pedido,OC_enviada,OC Enviada,OC Enviada,,,,
33,control_pedido,OC_recibida,OC Recibida,OC Recibida,,,,
34,control_pedido,Dias_OC,Dias OC,Dias OC,,,,
35,control_pedido,Empresa_logistica,Empresa Logistica,Empresa Logistica,,,,
36,control_pedido,Marca_nombre_comercial,Marca Nombre Comercial,Marca Nombre Comercial,,,,
37,control_pedido,Tiempo_entrega,Tiempo Entrega,Tiempo Entrega,,,,
38,control_pedido,Tiempo_transito,Tiempo Transito,Tiempo Transito,,,,
39,control_pedido,Termino_compra,Termino Compra,Termino Compra,,,,
40,control_pedido,Precio_referencia,Precio Referencia,Precio Referencia,,,,
41,control_pedido,Valor_total_referencia,Valor Total Referencia,Valor Total Referencia,,,,
42,control_pedido,Facturado,Facturado,Facturado,,,,
43,control_pedido,Observaciones,Observaciones,Observaciones,,,,
44,control_pedido,Dias_disponibilidad_planta,Dias Disponibilidad Planta,Dias Disponibilidad Planta,,,,
45,control_pedido,Dias_despacho_planta,Dias Despacho Planta,Dias Despacho Planta,,,,
46,control_pedido,Facturador_final,Facturador Final,Facturador Final,,,,
47,control_pedido,Fecha_pago,Fecha Pago,Fecha Pago,,,,
48,control_pedido,Categoria,Categoria,Categoria,,,,
49,control_pedido,No_factura_sourcing,No Factura Sourcing,No Factura Sourcing,,,,
50,control_pedido,Docto_digital_recibido,Docto Digital Recibido,Docto Digital Recibido,,,,
51,control_pedido,Docto_original_recibido,Docto Original Recibido,Docto Original Recibido,,,,
52,control_pedido,Cantidad_facturada,Cantidad Facturada,Cantidad Facturada,,,,
53,control_pedido,Proveedor,Proveedor,Proveedor,,,,
54,control_pedido,No_factura,No Factura,No Factura,,,,
55,control_pedido,Incoterm,Incoterm,Incoterm,,,,
56,control_pedido,Fecha_recepcion_lista_empaque,Fecha Recepcion Lista Empaque,Fecha Recepcion Lista Empaque,,,,
57,control_pedido,Fecha_respuesta_planificacion,Fecha Respuesta Planificacion,Fecha Respuesta Planificacion,,,,
58,control_pedido,Incoterm_compra,Incoterm Compra,Incoterm Compra,,,,
59,control_pedido,Gestores,Gestores,Gestores,,,,
60,control_pedido,Notifica_embarque,Notifica Embarque,Notifica Embarque,,,,
61,control_pedido,Confirma_compra,Confirma Compra,Confirma Compra,,,,
62,control_pedido,Id_estado,Id Estado,Id Estado,,,,
63,control_pedido,id_presentacion_final,Id Presentacion Final,Id Presentacion Final,,,,
64,control_pedido,Solicitud_facturacion_FO,Solicitud Facturacion FO,Solicitud Facturacion FO,,,,
65,control_pedido,Facturacion_FO,Facturacion FO,Facturacion FO,,,,
66,control_pedido,Proforma_proveedor,Proforma Proveedor,Proforma Proveedor,,,,
67,control_pedido,flete_compra,Flete Compra,Flete Compra,,,,
68,control_pedido,Porcentaje_Termino_Compra,Porcentaje Termino Compra,Porcentaje Termino Compra,,,,
69,control_pedido,Id_Estado_Pago,Id Estado Pago,Id Estado Pago,,,,
70,control_pedido,Id_Estado_Pago_Anticipo,Id Estado Pago Anticipo,Id Estado Pago Anticipo,,,,
71,seguimiento_pedido,,Seguimiento Pedido,Seguimiento Pedido,,,,
72,seguimiento_pedido,PEDIDO,PEDIDO,PEDIDO,,,,
73,seguimiento_pedido,Id_detalle_pedido,Id Detalle Pedido,Id Detalle Pedido,,,,
74,seguimiento_pedido,No_camion,No Camion,No Camion,,,,
75,seguimiento_pedido,Fecha_estimada_disponibilidad_pedido,Fecha Estimada Disponibilidad Pedido,Fecha Estimada Disponibilidad Pedido,,,,
76,seguimiento_pedido,Fecha_envio_documento_tramite_permiso,Fecha Envio Documento Tramite Permiso,Fecha Envio Documento Tramite Permiso,,,,
77,seguimiento_pedido,Fecha_envio_documento_definitivo,Fecha Envio Documento Definitivo,Fecha Envio Documento Definitivo,,,,
78,seguimiento_pedido,Fecha_real_disponibilidad_pedido,Fecha Real Disponibilidad Pedido,Fecha Real Disponibilidad Pedido,,,,
79,seguimiento_pedido,Fecha_arribo_camion_frontera,Fecha Arribo Camion Frontera,Fecha Arribo Camion Frontera,,,,
80,seguimiento_pedido,Fecha_arribo_camion_destino,Fecha Arribo Camion Destino,Fecha Arribo Camion Destino,,,,
81,seguimiento_pedido,Fecha_bl,Fecha Bl,Fecha Bl,,,,
82,seguimiento_pedido,Flete,Flete,Flete,,,,
83,seguimiento_pedido,Precio_TM,Precio TM,Precio TM,,,,
84,seguimiento_pedido,Valor_total,Valor Total,Valor Total,,,,
85,seguimiento_pedido,No_factura,No Factura,No Factura,,,,
86,seguimiento_pedido,Puerto_carga,Puerto Carga,Puerto Carga,,,,
87,seguimiento_pedido,Pais_carga,Pais Carga,Pais Carga,,,,
88,seguimiento_pedido,No_embarque,No Embarque,No Embarque,,,,
89,seguimiento_pedido,Docto_digital_enviado,Docto Digital Enviado,Docto Digital Enviado,,,,
90,seguimiento_pedido,Docto_original_enviado,Docto Original Enviado,Docto Original Enviado,,,,
91,seguimiento_pedido,Pais_origen,Pais Origen,Pais Origen,,,,
92,seguimiento_pedido,Fecha_ofrecida_despacho_de,Fecha Ofrecida Despacho De,Fecha Ofrecida Despacho De,,,,
93,seguimiento_pedido,Fecha_ofrecida_despacho_a,Fecha Ofrecida Despacho A,Fecha Ofrecida Despacho A,,,,
94,seguimiento_pedido,Estado_zarpe,Estado Zarpe,Estado Zarpe,,,,
95,seguimiento_pedido,Fecha_arribo,Fecha Arribo,Fecha Arribo,,,,
96,seguimiento_pedido,Estado_arribo,Estado Arribo,Estado Arribo,,,,
97,seguimiento_pedido,Id_tipo_prod,Id Tipo Prod,Id Tipo Prod,,,,
98,seguimiento_pedido,Fecha_confirmacion_cliente_despacho_camion,Fecha Confirmacion Cliente Despacho Camion,Fecha Confirmacion Cliente Despacho Camion,,,,
99,seguimiento_pedido,Observaciones,Observaciones,Observaciones,,,,
100,seguimiento_pedido,Cantidad_contenedores,Cantidad Contenedores,Cantidad Contenedores,,,,
101,seguimiento_pedido,Incoterm_venta,Incoterm Venta,Incoterm Venta,,,,
102,seguimiento_pedido,Valor_unitario_venta,Valor Unitario Venta,Valor Unitario Venta,,,,
103,seguimiento_pedido,Valor_total_venta,Valor Total Venta,Valor Total Venta,,,,
104,seguimiento_pedido,No_factura_trading,No Factura Trading,No Factura Trading,,,,
105,seguimiento_pedido,Fecha_zarpe,Fecha Zarpe,Fecha Zarpe,,,,
106,seguimiento_pedido,Termino_venta,Termino Venta,Termino Venta,,,,
107,seguimiento_pedido,Fecha_cargo_mercaderia_camion,Fecha Cargo Mercaderia Camion,Fecha Cargo Mercaderia Camion,,,,
108,seguimiento_pedido,Id_estado,Id Estado,Id Estado,,,,
109,seguimiento_pedido,No_lotes,No Lotes,No Lotes,,,,
110,seguimiento_pedido,Fecha_real_despacho_camion,Fecha Real Despacho Camion,Fecha Real Despacho Camion,,,,
111,seguimiento_pedido,Responsable,Responsable,Responsable,,,,
112,seguimiento_pedido,No_lista_empaque,No Lista Empaque,No Lista Empaque,,,,
113,seguimiento_pedido,Eta_puerto_carga,Eta Puerto Carga,Eta Puerto Carga,,,,
114,seguimiento_pedido,Fecha_zarpe_estimada,Fecha Zarpe Estimada,Fecha Zarpe Estimada,,,,
115,seguimiento_pedido,Plazo_venta,Plazo Venta,Plazo Venta,,,,
